epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52554,3.35111,7.57649,2.66717,0,0,0,0,2.88404,5.05595,2.27297,7.5e-05,7.5e-05,7.5e-05
2,5.35974,3.25666,7.08916,2.21858,0,0,0,0,2.57769,5.00941,1.78323,0.000160891,0.000160891,0.000160891
3,6.18012,2.39621,5.846,1.50045,0.00014,0.08333,0.00027,0.00016,2.13535,5.00483,1.41307,0.00024505,0.00024505,0.00024505
4,7.0043,1.79638,4.6095,1.14068,0.00413,0.45,0.29143,0.14628,1.90296,4.6933,1.20388,0.000327476,0.000327476,0.000327476
5,7.79648,1.65255,4.41538,1.10279,0.00525,0.6375,0.36373,0.13971,1.69715,4.45771,1.10652,0.00040817,0.00040817,0.00040817
6,8.60066,1.52879,3.84159,1.14578,0.00644,0.83333,0.40003,0.19616,1.34666,4.04587,1.01859,0.000487131,0.000487131,0.000487131
7,9.39684,1.57233,3.63097,1.15747,0.00582,0.6875,0.19615,0.06612,1.39265,3.96522,1.09633,0.00056436,0.00056436,0.00056436
8,10.19,1.5172,3.39094,1.2353,0.00537,1,0.76042,0.41857,1.43915,3.70376,1.18637,0.000639856,0.000639856,0.000639856
9,10.9851,1.44627,2.71633,1.22157,0.00485,1,0.83411,0.56277,1.26089,3.50047,1.12612,0.00071362,0.00071362,0.00071362
10,11.7904,1.26863,3.17619,1.1219,0.00447,1,0.82367,0.57053,1.17498,3.52373,1.07286,0.000785651,0.000785651,0.000785651
11,12.5905,1.39839,2.65742,1.11084,0.76957,0.30872,0.85286,0.57121,1.19543,3.10059,1.09283,0.00085595,0.00085595,0.00085595
12,13.3787,1.25673,2.9317,1.05515,0.97272,0.40626,0.75783,0.49324,1.24489,3.15811,1.0703,0.000924516,0.000924516,0.000924516
